,RaT,Pr,RaS,Sc,x,Tbar,σTbar,Tp2,σTp2,chiT,σchiT,epsilon,σepsilon,vxT,σvxT,vxp2,σvxp2,vxvy,σvxvy,vxvz,σvxvz,vyT,σvyT,vybar,σvybar,vyp2,σvyp2,vzT,σvzT,vzbar,σvzbar,vzp2,σvzp2,Rρ,ν,κT,κS
1,-40000.0,2.0,100000000.0,100.0,0.0021174658670197744,-0.49158818594430925,0.0004757880897220339,1.7418200015701872e-05,3.840131731520962e-06,0.009858369624028859,0.001244270651161085,0.07051323706961017,0.004426501632824579,-6.466664012531598e-08,1.2517539411017135e-08,1.0148525294436523e-09,2.1250003298839727e-10,2.6473598683115175e-08,5.552720620635461e-09,-1.873691351155132e-11,2.1544285211115876e-09,-0.00888180207573065,0.00030765467687421627,0.018043112883209082,0.0006132194859723986,2.5268833205700214e-05,3.814875760392762e-06,1.0820534942434807e-05,5.030050006494269e-05,-2.1835933844176792e-05,0.00010267251967092329,7.127812570547074e-06,1.4117018693392812e-06,0.02,0.001,0.0005,1e-05
2,-40000.0,2.0,100000000.0,100.0,0.003650879316310085,-0.4854969693221604,0.000819942308418332,5.178102480959677e-05,1.1414153716902535e-05,0.009856979014823946,0.0012431453354516747,0.060149887104091346,0.004023768218799812,-3.0755677760237827e-07,5.936814141365862e-08,7.585926762728442e-09,1.5758641110769636e-09,1.259135903102786e-07,2.629459631017882e-08,-7.717822668051526e-11,1.0139895619171815e-08,-0.014480245607156859,0.0005295609093827521,0.029751888802778844,0.0010546569482323377,7.443721705004645e-05,1.1225374075110772e-05,1.8533416748043735e-05,8.537253471468127e-05,-3.7651457526534646e-05,0.00017687827719477467,2.0700395255628596e-05,4.087147660052281e-06,0.02,0.001,0.0005,1e-05
3,-40000.0,2.0,100000000.0,100.0,0.005288323089106289,-0.478993774719539,0.0011870021456404775,0.00010863233031455338,2.3936788912502067e-05,0.00985220195436644,0.001241014440629394,0.050675110383662694,0.003617763445463705,-9.100040849420685e-07,1.7509872214885958e-07,3.1108479221861785e-08,6.408347893200611e-09,3.723932981304246e-07,7.726255671042848e-08,-1.860897025018338e-10,2.9656924420802713e-08,-0.019789859135506616,0.0007638782440958145,0.04115873463292229,0.0015219093485743017,0.0001543506248331576,2.3248862278774277e-05,2.665309890515431e-05,0.00012159584862551675,-5.454448066135526e-05,0.00025600473031234597,4.240251621778491e-05,8.345364719477075e-06,0.02,0.001,0.0005,1e-05
4,-40000.0,2.0,100000000.0,100.0,0.007029453991881263,-0.47208174330499447,0.0015766052094072656,0.00019186464816141671,4.2245533993613365e-05,0.009841352715364396,0.001237175401142428,0.04218598260409561,0.0032165275708539364,-2.1036315999811365e-06,4.0324261533872986e-07,9.249134884223564e-08,1.8881888113254854e-08,8.595041002095201e-07,1.7679698575790114e-07,-3.139562047457417e-10,6.768570143507093e-08,-0.024744358278756293,0.0010082761698806833,0.05213512293414937,0.0020122483553563484,0.0002686133157400778,4.041093647967796e-05,3.515249268755435e-05,0.00015873788283231403,-7.251465817167743e-05,0.00034000961605065336,7.30569285275977e-05,1.4330242425330858e-05,0.02,0.001,0.0005,1e-05
5,-40000.0,2.0,100000000.0,100.0,0.008873907099215483,-0.4647653490894528,0.001988219095969212,0.00030550176723132433,6.718193402697803e-05,0.009821084504615664,0.0012307817919496845,0.034735304826049224,0.0028284729052360383,-4.178225778682804e-06,7.97334292953423e-07,2.2518066469840313e-07,4.552834712227706e-08,1.7011393331800862e-06,3.462733043612318e-07,-3.5359476258136043e-10,1.325754916347759e-07,-0.029291543054782355,0.0012599847077444173,0.06257314287088989,0.0025223160119720893,0.00041993044155100436,6.310957057303899e-05,4.400204322287752e-05,0.00019655702280389574,-9.156221951511885e-05,0.0004288425824898377,0.00011338100986787382,2.2161004892119536e-05,0.02,0.001,0.0005,1e-05
6,-40000.0,2.0,100000000.0,100.0,0.010821295830282213,-0.4570508412388225,0.0024210870444229694,0.00045361058731699085,9.955539187610044e-05,0.009787409931917491,0.0012208706557322688,0.028331625607082512,0.002461772629076729,-7.4828894491998855e-06,1.4204592530128316e-06,4.78070505618099e-07,9.568523963403687e-08,3.027186127788223e-06,6.089566782400669e-07,-7.927862363729079e-11,2.3391134810244797e-07,-0.033394748522483794,0.0015158991740372952,0.07238953809253461,0.0030481917579311874,0.0006097401035585971,9.15790970522469e-05,5.316956967921418e-05,0.0002348051681586641,-0.0001116878812372769,0.0005224442897392875,0.00016397082256695497,3.192924791738632e-05,0.02,0.001,0.0005,1e-05
7,-40000.0,2.0,100000000.0,100.0,0.012871212029871265,-0.44894674201941365,0.002874168479249587,0.0006401771778654148,0.00014009414276113254,0.00973579866657901,0.0012064195769283747,0.022942062641501244,0.002123565921977013,-1.2423290526015877e-05,2.3439303037814417e-06,9.180194898011407e-07,1.8185090346732734e-07,4.975101293497426e-06,9.884982455064548e-07,8.970616940552379e-10,3.8229080183854336e-07,-0.0370334697732207,0.0017727394736227911,0.08152863207857945,0.003585551972121816,0.0008379061774957274,0.00012587224557334773,6.262009386218446e-05,0.00027323050611757066,-0.00013289262271594173,0.0006207442875658928,0.00022528690767909147,4.369646138719418e-05,0.02,0.001,0.0005,1e-05
8,-40000.0,2.0,100000000.0,100.0,0.015023226053934663,-0.44046437927742854,0.003346078412202517,0.0008689434743488218,0.00018938396555947704,0.009661370001935718,0.0011864329292787914,0.018498150991156207,0.0018191878818258943,-1.9453979774141574e-05,3.644971452383647e-06,1.6316203015412632e-06,3.199258229462311e-07,7.678047082325282e-06,1.507473211820345e-06,3.159440150862644e-09,5.890232352684551e-07,-0.04020294040498961,0.0020272533782952867,0.08996345831384221,0.004129928756889169,0.0011025725607001927,0.00016586847037658212,7.231566825881824e-05,0.00031158100121888075,-0.0001551773063606415,0.0007236586147377083,0.0002976419614325402,5.749209016168349e-05,0.02,0.001,0.0005,1e-05
9,-40000.0,2.0,100000000.0,100.0,0.017276886859636215,-0.4316184220460066,0.003835030520088973,0.0011432054093089108,0.0002477979507970392,0.009559184834910165,0.0011600506128082097,0.014904363238715638,0.0015516240024484077,-2.9065146900585094e-05,5.403382322443235e-06,2.7259034586025594e-06,5.293338478451547e-07,1.125178470965108e-05,2.1864396778103088e-06,7.501193571589434e-09,8.657796833843171e-07,-0.04291257823854665,0.0022764371112883046,0.09769456953252802,0.004677045137301183,0.001400263086635484,0.00021130807526335358,8.22152169358183e-05,0.00034960865237976133,-0.00017854215369414808,0.0008310872853314283,0.00038119064179449304,7.331220012441414e-05,0.02,0.001,0.0005,1e-05
10,-40000.0,2.0,100000000.0,100.0,0.019631722099886173,-0.4224273787820301,0.004338789720875511,0.001465579492046513,0.00031542402190070404,0.009424622796400384,0.0011266641946469135,0.012048325682832673,0.0013213593930650003,-4.17637834041472e-05,7.697277459800977e-06,4.327773952627386e-06,8.33030176570242e-07,1.578350326303628e-05,3.043815991168884e-06,1.491392259813102e-08,1.2242323832582418e-06,-0.04518342257418512,0.002517733211382253,0.10474640418624141,0.005223169005323549,0.001726248579514485,0.0002618419024909342,9.227439811303815e-05,0.00038707444887507004,-0.00020298611869308276,0.0009429117631962642,0.000475921859023952,9.111883160676463e-05,0.02,0.001,0.0005,1e-05
11,-40000.0,2.0,100000000.0,100.0,0.022087238222340738,-0.41291401158254176,0.004854640658879021,0.0018377523055954606,0.0003920001367875471,0.009253809494092642,0.0010860182467858533,0.009811336295226495,0.001126657889098729,-5.8049910581564834e-05,1.0598149105089643e-05,6.5821628946532425e-06,1.2574073335844149e-06,2.132561852189597e-05,4.096494073841658e-06,2.6554280870017885e-08,1.6757257661449205e-06,-0.04704490701399299,0.00274916100423031,0.11116163411019962,0.00576539673890743,0.002075114139295541,0.00031708165730897253,0.00010244548760696704,0.0004237538696082039,-0.0002285062180623597,0.001058992537965252,0.0005816540012126458,0.00011084013436729259,0.02,0.001,0.0005,1e-05
12,-40000.0,2.0,100000000.0,100.0,0.02464292057284631,-0.40310561783819365,0.0053793784658560115,0.002260234831875824,0.00047686897947327086,0.009044041292435398,0.0010382735957588393,0.008077747364180808,0.0009641631236664055,-7.838919473406985e-05,1.4165675432600293e-05,9.649075827780077e-06,1.8321038085427438e-06,2.789622367619788e-05,5.3607799902546715e-06,4.369476160354549e-08,2.231010737672151e-06,-0.0485314548796659,0.002969349455302095,0.11699439965159333,0.006301781365736379,0.0024413893008871355,0.000376638275271041,0.00011267727517555097,0.00045944268115909463,-0.0002550968825190205,0.0011791669138585688,0.0006980336098565711,0.00013237137873253906,0.02,0.001,0.0005,1e-05
13,-40000.0,2.0,100000000.0,100.0,0.027298233503306374,-0.3930341339208675,0.005909327246076989,0.002732149168324318,0.0005689632497897313,0.008794146365892153,0.000984016777308342,0.006742109011998819,0.0008296281764246808,-0.00010318383241850119,1.8442849027869308e-05,1.3699871497640731e-05,2.589707951295042e-06,3.5485890816858874e-05,6.853186381372907e-06,6.766589074538677e-08,2.9000560603484328e-06,-0.049679390589286526,0.003177473248716012,0.12230355544809653,0.006831271891728816,0.00282008930386178,0.0004401424505315676,0.00012291496755053387,0.0004939627068482402,-0.0002827493876064056,0.001303247108835439,0.00082453802391154,0.0001555769197902994,0.02,0.001,0.0005,1e-05
14,-40000.0,2.0,100000000.0,100.0,0.030052620483948522,-0.3827360239841372,0.006440389748873847,0.0032510771585297954,0.0006668287673184115,0.00850472485432242,0.0009242144033725075,0.00571355917721923,0.0007185822666539813,-0.00013274400764254907,2.34520699242449e-05,1.8913164147766245e-05,3.5653426559422397e-06,4.4068788948219145e-05,8.590777643178086e-06,9.97980475454373e-08,3.6919321684223844e-06,-0.050524531654220495,0.0033731225166234373,0.12714692704457575,0.0073534976192465695,0.003207061779983035,0.0005072487220549079,0.00013310010442759814,0.0005271671647882776,-0.000311451409677272,0.00143101873475053,0.0009604824329466274,0.00018029315206108146,0.02,0.001,0.0005,1e-05
15,-40000.0,2.0,100000000.0,100.0,0.03290550421996813,-0.37225193066260653,0.006968128707771967,0.003812997346639605,0.0007686861273766049,0.008178228068907813,0.0008601260525215408,0.004917557484123838,0.0006268223483217444,-0.00016726245544588028,2.919277412845832e-05,2.54707015977871e-05,4.796120060349115e-06,5.361523269609228e-05,1.0591058776128994e-05,1.4137188395097538e-07,4.6147500475482844e-06,-0.0511006248961645,0.003556150078510356,0.13157721145245668,0.007868474827938728,0.003599109371643173,0.00057762926346264,0.00014317051479615972,0.0005589451175517188,-0.000341186730250191,0.0015622397011490926,0.0011050316128367454,0.0002063324314520029,0.02,0.001,0.0005,1e-05
16,-40000.0,2.0,100000000.0,100.0,0.03585628677252409,-0.36162608263004464,0.0074878767969783905,0.004412328269399452,0.0008725244276660316,0.007818862689581622,0.0007931974349347085,0.004295463312978888,0.0005506993370784493,-0.00020679464256031916,3.564094109749872e-05,3.355346167662475e-05,6.320469071867945e-06,6.410300286570468e-05,1.2871604252517232e-05,1.935844293128723e-07,5.675634900231188e-06,-0.05143858520622366,0.0037265373545296034,0.13563968577614444,0.008376324205922272,0.003993928220733644,0.0006509645728677882,0.0001530603664271737,0.00058922455295496,-0.00037193508201664423,0.0016966395728149368,0.0012572163677350688,0.00023348786524600735,0.02,0.001,0.0005,1e-05
17,-40000.0,2.0,100000000.0,100.0,0.03890434968406156,-0.35090547500378905,0.007994868779204897,0.00504208366099653,0.0009762149826444796,0.007432333693170614,0.0007249539175081118,0.003802721391824134,0.0004872174094351704,-0.0002512467332115477,4.27505006074545e-05,4.3338087679238447e-05,8.177354434707829e-06,7.552580743386356e-05,1.5449623970733485e-05,2.5753254380841414e-07,6.880721207413422e-06,-0.05156632730865502,0.0038843033124277846,0.1393714234487154,0.008877063038434047,0.004389938776623144,0.0007269354528132102,0.00016270038334656797,0.0006179736361274871,-0.00040367210512293954,0.0018339194154378849,0.0014159543914084758,0.0002615387903573636,0.02,0.001,0.0005,1e-05
18,-40000.0,2.0,100000000.0,100.0,0.04204905410793508,-0.34013886002727733,0.008484386861229425,0.005694131085336778,0.0010776306840325931,0.007025462428819733,0.0006569063548619464,0.0034064355905246745,0.0004340037399188524,-0.00030037282360507675,5.045634645757746e-05,5.499369110057923e-05,1.0405416992300096e-05,8.78982426392967e-05,1.8341586822524502e-05,3.3420906278305217e-07,8.235167151609568e-06,-0.05150895833645247,0.00402945871160686,0.14280158657747466,0.00937048716012467,0.004786078874486507,0.0008052170006012037,0.00017201831575306648,0.0006451997490903229,-0.00043636937499251863,0.001973752173651694,0.001580074924386595,0.00029025668870807356,0.02,0.001,0.0005,1e-05
19,-40000.0,2.0,100000000.0,100.0,0.04528974094230498,-0.32937560422629003,0.008951908972760436,0.00635953263227814,0.001174757976166601,0.006605729587728038,0.0005904731855003,0.0030828475294887654,0.0003892191377368689,-0.0003537819727276869,5.8678456930527164e-05,6.867899537906016e-05,1.3042076195017882e-05,0.00010125743921397568,2.1562907443753943e-05,4.245034159767754e-07,9.743194548324136e-06,-0.05128913505839486,0.004161994269281388,0.14595237270794978,0.009856123031409128,0.0051816096883178404,0.0008854745957154661,0.00018093973703055757,0.0006709460784853972,-0.0004699944756175472,0.00211578362416705,0.001748346265299143,0.0003194112396030342,0.02,0.001,0.0005,1e-05
20,-40000.0,2.0,100000000.0,100.0,0.048625730968279296,-0.31866448150614574,0.00939324979341131,0.0070289369340264685,0.0012657920409282933,0.006180796304734314,0.000526919143021863,0.0028150469393212365,0.0003514659514184805,-0.00041095450062591686,6.732655872485208e-05,8.453977999616065e-05,1.6122639200032225e-05,0.00011566210290831287,2.512764062888999e-05,5.291997613227262e-07,1.1408161348931753e-05,-0.05092742250624311,0.004281885984498505,0.14884019280727173,0.01033321790218855,0.005575963394264727,0.0009673624485034516,0.00018938921035753845,0.0006952857326122558,-0.0005045111149239495,0.0022596339284366037,0.0019195049410061734,0.00034877619210970225,0.02,0.001,0.0005,1e-05
